# ----------------------------------------,,,,,,
# App A,,,,,,
# Language,,,,,,
# Month x,,,,,,
# ----------------------------------------,,,,,,
Language,Users,New Users,Sessions,Screen Views,Screens/Session,Avg Session Length
fr-fr,47595,3036,136951,1122495,"8,20",00:05:38
de-de,2849,16376,82835,616654,"7,44",00:05:50
en,27361,12384,81335,549831,"6,76",00:04:25
en-us,27031,16588,72168,543404,"7,53",00:05:39
en-gb,19752,12207,56127,425682,"7,58",00:05:03
de,19475,738,61119,386025,"6,32",00:04:06
fr,18482,8644,58902,390518,"6,63",00:04:12
it-it,17335,12078,44531,351949,"7,90",00:05:28
zh-hans,15888,7691,52557,38696,"7,36",00:04:28
ru-ru,14507,10132,38139,311364,"8,16",00:05:42
es-es,1286,9638,32718,295152,"9,02",00:05:37
pt-br,12678,10243,32847,279064,"8,50",00:04:36
ja,1236,5633,43355,30683,"7,08",00:03:55
ru,1166,7538,30601,229282,"7,49",00:04:07
es-mx,11625,8415,32635,248022,"7,60",00:03:33
ja-jp,8638,4334,25214,197652,"7,84",00:05:39
nl-nl,7662,5874,17029,138462,"8,13",00:04:39
it,7121,3669,20745,128595,"6,20",00:03:50
es,6792,3999,17435,122321,"7,02",00:03:58
es-us,6715,4581,18199,174443,"9,59",00:06:23
tr-tr,4598,3275,12925,123003,"9,52",00:05:12
zh-hans-cn,4592,2358,10773,83058,"7,71",00:04:02
nl,4434,2058,12443,7649,"6,15",00:03:23
ko-kr,3087,2011,7727,63595,"8,23",00:05:46
pt,3087,2481,6039,48459,"8,02",00:04:11
zh-cn,2664,1482,9838,58108,"5,91",00:04:48
pl-pl,2499,157,6909,59384,"8,60",00:06:34
en-au,2487,1664,618,49265,"7,97",00:05:05
en-ca,2364,1599,454,31747,"6,99",00:04:30
de-at,2352,1135,8344,60231,"7,22",00:06:16
cs-cz,2305,1388,7162,62236,"8,69",00:05:59
ko,2193,107,7209,49947,"6,93",00:03:38
pt-pt,2152,1511,5398,45131,"8,36",00:04:28
sv-se,2146,1705,501,36898,"7,36",00:04:19
tr,1676,1041,4287,36116,"8,42",00:03:54
en-in,1435,1111,3581,3133,"8,75",00:04:59
da-dk,1388,1088,2781,20675,"7,43",00:04:04
sv,1111,659,277,19093,"6,89",00:03:36
da,994,612,2211,15935,"7,21",00:03:35
fr-be,976,600,2417,21798,"9,02",00:04:47
fr-ca,964,635,2552,19393,"7,60",00:04:30
hu-hu,947,565,2887,21051,"7,29",00:06:17
ar-ae,888,659,197,20175,"10,24",00:04:41
nb,864,447,2293,1436,"6,26",00:03:22
nb-no,859,623,1805,13489,"7,47",00:04:48
pl,829,394,2875,22386,"7,79",00:04:41
nl-be,782,506,2152,16712,"7,77",00:04:59
el-gr,776,594,244,21145,"8,67",00:06:03
ro-ro,729,553,177,1533,"8,66",00:05:14
de-ch,676,294,187,13113,"7,01",00:06:18
es-cl,653,465,1805,16964,"9,40",00:04:52
zh-tw,653,459,187,14565,"7,79",00:05:35
fa-ir,612,447,1399,11196,"8,00",00:05:38
zh-hant,600,353,167,10696,"6,40",00:03:57
hr-hr,547,400,1688,17182,"10,18",00:05:17
fr-ch,535,282,1211,9791,"8,09",00:04:50
ru-ua,535,429,1111,9179,"8,26",00:04:55
es-co,523,370,1011,8767,"8,67",00:05:04
th-th,488,376,964,10049,"10,42",00:04:46
sk-sk,482,329,1429,12548,"8,78",00:04:53
fi-fi,476,376,1176,9567,"8,14",00:04:54
cs,447,194,1235,12149,"9,84",00:06:27
sr-rs,417,288,1064,10808,"10,16",00:04:22
es-ar,388,270,1188,10467,"8,81",00:06:16
iw-il,388,247,794,7874,"9,92",00:05:19
in-id,370,218,1129,1002,"8,88",00:06:02
uk-ua,341,241,770,6868,"8,92",00:04:22
ar,318,212,664,4551,"6,85",00:03:33
en-de,300,153,1035,7832,"7,57",00:06:47
th,294,182,429,4063,"9,47",00:02:37
ar-eg,288,200,535,5851,"10,94",00:04:40
en-cn,282,100,559,3069,"5,49",00:03:30
zh-hk,270,135,753,4522,"6,01",00:04:40
en-nz,265,147,782,5327,"6,81",00:05:48
vi-vn,265,218,806,6321,"7,84",00:08:10
hu,259,118,853,4728,"5,54",00:02:21
en-ie,253,165,517,3358,"6,50",00:05:06
en-za,253,141,688,4228,"6,15",00:03:51
lt-lt,247,147,529,4281,"8,09",00:04:50
es-pe,241,135,712,6286,"8,83",00:05:11
en-sg,229,147,547,4487,"8,20",00:04:38
bg-bg,223,147,435,3928,"9,03",00:05:32
