# ----------------------------------------
# App B
# Language
# Month x
# ----------------------------------------
Language,Users,New Users,Sessions,Screen Views,Screens/Session,Avg Session Length
de,35.537,6.266,150.249,939.538,"6,25",00:04:26
es,22.431,6.075,97.016,634.190,"6,54",00:04:09
fr,20.832,4.743,78.540,500.773,"6,38",00:04:07
it,16.992,3.458,68.120,428.965,"6,30",00:03:45
en,16.885,3.619,80.912,481.953,"5,96",00:04:25
de-de,10.160,1.400,33.303,202.027,"6,07",00:04:24
fr-fr,5.746,842,16.372,106.778,"6,52",00:04:04
it-it,5.447,826,17.283,104.491,"6,05",00:04:05
es-es,5.072,1.216,16.479,113.794,"6,91",00:03:50
en-us,3.489,612,12.669,71.242,"5,62",00:03:55
nl,3.336,681,11.728,73.177,"6,24",00:04:10
ru,3.045,780,10.841,65.802,"6,07",00:04:12
en-gb,2.456,574,10.336,63.729,"6,17",00:04:16
pt,2.341,604,8.951,56.951,"6,36",00:03:57
es-mx,1.844,444,8.339,46.370,"5,56",00:03:37
ja,1.660,413,11.040,65.190,"5,90",00:05:21
de-at,1.354,199,3.902,23.510,"6,03",00:03:44
zh-hans,1.346,750,4.001,32.522,"8,13",00:05:48
de-ch,1.308,122,5.003,30.112,"6,02",00:04:12
nl-nl,1.224,260,3.519,23.747,"6,75",00:04:28
cs,1.079,199,5.241,28.705,"5,48",00:03:12
ru-ru,995,230,2.961,18.216,"6,15",00:04:55
pt-br,872,306,2.563,15.951,"6,22",00:03:49
pt-pt,842,222,2.930,18.239,"6,22",00:03:15
ca,803,214,3.305,20.220,"6,12",00:03:23
es-co,658,107,2.326,13.587,"5,84",00:04:35
ja-jp,566,115,2.349,15.064,"6,41",00:04:26
pl,566,69,3.244,17.772,"5,48",00:05:23
cs-cz,497,115,1.698,11.621,"6,84",00:03:32
da,497,69,2.027,13.496,"6,66",00:03:28
es-cl,482,138,1.415,9.173,"6,48",00:04:05
en-au,444,168,2.073,13.825,"6,67",00:04:53
sv,436,107,2.012,12.914,"6,42",00:03:57
en-ca,413,107,1.239,7.689,"6,21",00:04:42
fr-be,367,92,1.232,9.380,"7,61",00:05:03
ko,360,168,2.242,13.511,"6,03",00:04:34
tr,352,99,1.255,7.322,"5,83",00:04:59
zh-hans-cn,344,184,849,6.755,"7,96",00:06:27
zh-hant,329,107,1.438,9.074,"6,31",00:05:10
sk,314,77,1.507,8.002,"5,31",00:03:30
th,291,61,803,4.598,"5,73",00:04:11
da-dk,268,61,627,3.626,"5,78",00:04:33
es-cr,252,46,666,3.450,"5,18",00:04:18
hu,237,61,933,6.411,"6,87",00:04:12
ca-es,214,23,742,4.246,"5,72",00:04:08
fr-ch,214,38,627,6.212,"9,91",00:04:42
en-de,199,38,872,5.524,"6,33",00:05:15
pl-pl,191,31,474,2.586,"5,46",00:02:19
es-ar,184,46,704,5.891,"8,37",00:04:52
he,184,23,796,4.690,"5,89",00:02:41
ko-kr,176,61,612,4.078,"6,66",00:04:03
nl-be,176,38,497,4.491,"9,04",00:04:12
fr-ca,168,31,765,5.111,"6,68",00:05:03
sv-se,153,8,520,2.310,"4,44",00:02:43
tr-tr,145,61,321,1.874,"5,84",00:03:04
es-us,130,38,191,1.071,"5,61",00:02:45
en-ph,122,46,581,3.810,"6,56",00:05:13
ru-ua,122,23,383,2.731,"7,13",00:03:34
en-es,107,23,275,1.369,"4,98",00:02:45
en-za,107,31,482,2.831,"5,87",00:03:41
uk,107,15,230,1.148,"4,99",00:03:45
el,99,23,497,3.106,"6,25",00:05:31
de-lu,92,31,298,2.142,"7,19",00:02:33
en-fr,92,23,329,1.721,"5,23",00:02:15
en-it,92,8,428,3.274,"7,65",00:12:17
es-ec,92,15,230,1.775,"7,72",00:07:01
it-ch,92,23,283,2.609,"9,22",00:04:54
hr,84,23,321,1.668,"5,20",00:05:02
hu-hu,84,31,176,773,"4,39",00:08:54
ro,84,15,428,2.288,"5,35",00:03:04
en-th,69,15,84,650,"7,74",00:01:18
fr-lu,69,15,230,1.201,"5,22",00:04:28
en-ch,61,0,130,574,"4,42",00:01:46
en-nl,61,31,138,1.438,"10,42",00:06:17
sk-sk,61,15,191,1.040,"5,45",00:03:47
de-us,54,15,138,1.125,"8,15",00:07:31
en-co,54,23,298,2.020,"6,78",00:01:25
en-mx,54,0,321,1.637,"5,10",00:01:43
es-ve,54,23,107,620,"5,79",00:06:28
fi,54,8,191,1.369,"7,17",00:03:47
ar,46,38,184,1.385,"7,53",00:02:30
en-cn,46,31,46,298,"6,48",00:04:15
en-lu,46,0,92,421,"4,58",00:04:19
es-419,46,23,161,1.301,"8,08",00:04:17
es-sv,46,8,130,773,"5,95",00:04:24
fi-fi,46,23,99,849,"8,58",00:05:21
nb,46,8,61,520,"8,52",00:02:52
zh-tw,46,8,122,803,"6,58",00:04:35
en-il,38,8,161,1.584,"9,84",00:07:21
el-gr,31,0,214,1.125,"5,26",00:03:05
en-at,31,8,61,352,"5,77",00:06:50
en-cz,31,0,122,604,"4,95",00:00:55
en-ec,31,0,92,520,"5,65",00:11:04
en-in,31,8,77,474,"6,16",00:06:43
en-my,31,23,92,704,"7,65",00:13:17
en-ru,31,8,161,796,"4,94",00:03:01
es-bo,31,8,61,421,"6,90",00:04:55
es-do,31,8,61,773,"12,67",00:04:28
es-gb,31,8,107,513,"4,79",00:02:58
es-pe,31,0,191,857,"4,49",00:02:33
es-uy,31,8,54,275,"5,09",00:01:17
he-il,31,0,38,145,"3,82",00:01:41
th-th,31,15,54,1.117,"20,69",00:04:16
uk-ua,31,8,145,773,"5,33",00:07:09
vi,31,23,199,2.295,"11,53",00:03:49
zh-hk,31,15,61,490,"8,03",00:03:39
en-fi,23,0,77,306,"3,97",00:03:19
en-pt,23,15,184,2.043,"11,10",00:05:59
es-gt,23,8,31,191,"6,16",00:01:33
es-pa,23,8,199,949,"4,77",00:04:17
it-us,23,0,46,214,"4,65",00:01:48
nl-de,23,8,92,474,"5,15",00:01:23
pl-gb,23,0,23,199,"8,65",00:10:19
ro-ro,23,15,61,360,"5,90",00:01:46
ar-sa,15,8,54,482,"8,93",00:04:44
de-es,15,0,99,1.071,"10,82",00:04:53
de-it,15,0,15,69,"4,60",00:00:54
en-be,15,0,115,650,"5,65",00:02:29
en-cr,15,0,84,497,"5,92",00:01:58
en-gr,15,0,77,352,"4,57",00:05:14
en-gt,15,8,46,268,"5,83",00:05:34
en-hk,15,0,46,306,"6,65",00:02:43
