# ----------------------------------------
# App C
# Language
# Month x
# ----------------------------------------
Language,Users,New Users,Sessions,Screen Views,Screens/Session,Avg Session Length
en-us,183.930,92.521,458.831,1.822.262,"3,97",00:02:37
it-it,39.067,14.434,177.446,915.899,"5,16",00:04:26
fr-fr,36.038,13.381,127.755,660.922,"5,17",00:03:53
es-es,25.638,11.240,115.285,595.861,"5,17",00:04:05
en-gb,23.497,9.643,89.362,468.899,"5,25",00:04:08
en,20.906,11.500,33.956,103.855,"3,06",00:01:30
de-de,16.564,7.477,62.529,328.840,"5,26",00:03:46
ru-ru,15.582,8.412,52.732,298.090,"5,65",00:04:06
zh-cn,15.428,11.157,47.515,304.172,"6,40",00:08:32
tr-tr,10.625,4.685,36.973,196.093,"5,30",00:03:39
es-us,9.347,4.247,36.405,187.976,"5,16",00:03:53
pt-br,8.104,4.141,33.447,185.113,"5,53",00:03:54
cs-cz,4.366,1.195,14.695,75.579,"5,14",00:03:38
hu-hu,3.963,2.627,12.719,81.825,"6,43",00:03:44
nl-nl,3.609,1.858,13.653,69.343,"5,08",00:03:02
en-in,3.478,1.775,16.008,86.097,"5,38",00:03:49
ko-kr,3.171,1.952,9.915,50.319,"5,08",00:03:24
ro-ro,2.970,1.964,8.578,49.798,"5,81",00:03:27
hi-in,2.946,1.503,4.295,13.582,"3,16",00:01:16
en-ca,2.934,1.006,10.565,52.910,"5,01",00:04:27
en-au,2.709,1.136,14.304,67.214,"4,70",00:04:08
ja-jp,2.579,1.124,15.262,74.774,"4,90",00:03:16
fa-ir,2.437,1.230,8.069,56.282,"6,98",00:07:03
de-at,2.402,1.017,10.400,54.365,"5,23",00:03:12
pl-pl,2.272,1.041,7.667,41.161,"5,37",00:03:07
sk-sk,2.272,1.124,8.116,47.645,"5,87",00:03:49
pt-pt,2.260,1.088,8.282,48.083,"5,81",00:03:47
ar-ae,1.929,1.230,5.762,39.292,"6,82",00:03:51
es-mx,1.858,994,5.573,39.635,"7,11",00:06:09
lt-lt,1.846,1.029,6.353,32.406,"5,10",00:03:22
hr-hr,1.763,911,5.040,26.597,"5,28",00:03:39
sr-rs,1.680,651,4.685,23.367,"4,99",00:03:32
bg-bg,1.656,663,4.318,20.953,"4,85",00:03:05
el-gr,1.396,532,6.034,28.478,"4,72",00:03:48
nl-be,1.136,627,4.401,23.805,"5,41",00:03:28
uk-ua,1.077,580,3.904,19.687,"5,04",00:03:47
fr-ca,1.053,532,3.301,19.321,"5,85",00:05:16
sv-se,923,308,5.087,26.301,"5,17",00:03:07
zh-tw,911,592,3.088,17.226,"5,58",00:03:50
fr-be,876,414,3.171,17.534,"5,53",00:05:44
en-za,852,260,2.165,9.607,"4,44",00:04:09
fr-ch,686,225,1.869,9.986,"5,34",00:02:18
ca-es,663,308,3.490,18.256,"5,23",00:05:42
en-ie,639,154,1.858,5.857,"3,15",00:02:36
es-ar,615,379,2.567,14.801,"5,77",00:05:11
iw-il,615,319,1.479,7.134,"4,82",00:03:18
de-ch,603,201,2.070,8.353,"4,04",00:01:44
in-id,580,308,1.881,12.494,"6,64",00:04:45
ar-eg,532,331,1.479,9.465,"6,40",00:03:33
en-ph,521,284,1.290,7.548,"5,85",00:03:52
nb-no,497,248,3.396,11.689,"3,44",00:02:51
en-nz,473,201,1.869,8.992,"4,81",00:04:08
et-ee,450,154,3.064,12.648,"4,13",00:02:29
lv-lv,438,95,923,3.857,"4,18",00:02:32
sl-si,426,201,1.207,7.596,"6,29",00:04:43
zh-hk,390,201,2.059,9.974,"4,84",00:03:39
th-th,308,154,580,3.502,"6,04",00:03:33
da-dk,260,130,722,4.153,"5,75",00:02:34
en-du,260,166,355,970,"2,73",00:00:16
ru-ua,260,95,1.207,5.502,"4,56",00:04:45
es-cl,225,130,864,5.277,"6,11",00:04:35
fi-fi,189,95,509,3.112,"6,11",00:05:46
es-co,177,95,461,2.662,"5,77",00:04:08
fa-fa,177,71,532,3.940,"7,41",00:05:47
vi-vn,177,130,343,2.307,"6,73",00:03:22
az-az,142,71,497,2.212,"4,45",00:04:27
it-ch,142,24,840,3.727,"4,44",00:02:15
en-sg,130,83,343,1.810,"5,28",00:01:19
ka-ge,118,47,296,1.171,"3,96",00:02:07
es-cr,83,24,296,1.136,"3,84",00:01:37
es-gt,83,83,485,3.810,"7,86",00:06:29
is-is,83,12,497,1.751,"3,52",00:04:05
bs-ba,59,35,59,769,"13,03",00:04:03
de-li,59,35,71,556,"7,83",00:05:00
en-pk,59,35,142,1.136,"8,00",00:09:01
es,59,0,130,745,"5,73",00:03:02
es-do,59,24,154,923,"5,99",00:01:32
es-pe,59,35,213,1.940,"9,11",00:06:50
mk-mk,59,24,461,2.272,"4,93",00:04:30
mr-in,59,0,59,71,"1,20",00:00:02
sr-cs,59,24,106,1.751,"16,52",00:13:59
en-hk,47,24,272,1.254,"4,61",00:03:03
en-ro,47,0,769,3.478,"4,52",00:02:27
es-ec,47,24,59,331,"5,61",00:01:26
gu-in,47,35,47,118,"2,51",00:00:18
ru-by,47,24,47,106,"2,26",00:00:19
en-cz,35,0,450,1.420,"3,16",00:04:12
en-my,35,12,71,331,"4,66",00:06:19
es-bo,35,12,47,189,"4,02",00:00:22
es-pr,35,0,130,355,"2,73",00:00:48
es-uy,35,35,130,722,"5,55",00:03:20
es-ve,35,0,201,2.212,"11,00",00:21:13
it-sm,35,24,95,402,"4,23",00:00:27
iw-gb,35,12,47,379,"8,06",00:01:19
ru-kz,35,24,71,544,"7,66",00:05:45
tr,35,12,71,343,"4,83",00:01:12
ar-il,24,12,142,568,"4,00",00:00:48
ar-sa,24,24,24,130,"5,42",00:02:07
en-ae,24,0,248,1.006,"4,06",00:04:49
en-en,24,24,106,1.171,"11,05",00:12:02
en-sa,24,0,24,83,"3,46",00:18:13
en-tw,24,0,130,331,"2,55",00:05:44
es-pa,24,12,95,532,"5,60",00:15:28
fa-ae,24,12,35,213,"6,09",00:01:42
fr-de,24,0,118,213,"1,81",00:00:02
hr-ba,24,12,24,166,"6,92",00:11:05
it-de,24,12,24,130,"5,42",00:00:15
kn-in,24,12,24,130,"5,42",00:08:17
uk-uk,24,24,47,438,"9,32",00:08:48
zz-zz,24,0,24,47,"1,96",00:00:00
ar-jo,12,12,24,59,"2,46",00:00:51
bg-ba,12,12,12,35,"2,92",00:01:12
cs,12,0,35,71,"2,03",00:00:01
cs-ee,12,12,12,5.916,"493,00",01:12:51
cs-sk,12,0,189,1.988,"10,52",00:11:21
en-cs,12,12,12,24,"2,00",00:00:10
en-cy,12,0,24,24,"1,00",00:00:00
en-dk,12,0,12,47,"3,92",00:00:16
en-eg,12,12,24,177,"7,38",00:01:19
en-es,12,0,12,71,"5,92",00:00:22
en-fr,12,12,24,166,"6,92",00:00:25
en-ke,12,0,12,71,"5,92",00:00:43
en-se,12,0,24,35,"1,46",00:05:20
en-tr,12,0,12,95,"7,92",00:00:40
es-hn,12,0,12,95,"7,92",00:00:30
es-it,12,0,24,95,"3,96",00:00:05
es-py,12,0,59,95,"1,61",00:08:11
et,12,12,12,47,"3,92",00:02:26
eu-es,12,0,24,47,"1,96",00:00:01
fa-gb,12,0,24,24,"1,00",00:00:00
fr-ae,12,0,47,189,"4,02",00:00:12
fr-gb,12,0,12,166,"13,83",00:00:21
fr-ie,12,0,12,24,"2,00",00:00:05
he-il,12,12,59,698,"11,83",00:12:17
hu-cs,12,12,35,213,"6,09",00:00:23
hu-ro,12,12,24,154,"6,42",00:04:56
hy-am,12,0,24,71,"2,96",00:00:42
ir-ir,12,12,12,130,"10,83",00:01:56
it-fr,12,0,12,12,"1,00",00:00:00
it-gb,12,0,12,166,"13,83",00:38:19
iw,12,0,47,213,"4,53",00:00:14
ms-my,12,0,12,24,"2,00",00:28:37
my-mm,12,0,12,12,"1,00",00:00:00
pl-sp,12,12,319,1.112,"3,49",00:03:48
ro,12,12,24,473,"19,71",00:02:35
ro-md,12,12,12,142,"11,83",00:01:58
ro-us,12,0,47,95,"2,02",00:00:01
ru-gb,12,0,24,47,"1,96",00:00:01
ru-pl,12,0,47,237,"5,04",00:11:04
ru-ro,12,0,12,47,"3,92",00:00:07
sr,12,0,35,35,"1,00",00:00:00
ta-in,12,0,12,12,"1,00",00:00:00
te-in,12,0,24,142,"5,92",00:00:18
tr_tr,12,0,12,473,"39,42",01:07:03
tr-us,12,0,12,47,"3,92",00:00:09
